0,1 1:2.87447811863e-07 2:3.75021677828e-13 3:1.32988003775e-08 4:-2.62684110115e-13 5:0.17037859553 6:0.00349886322789 7:8.82685173593e-06 9:16.106672
1,1 1:1.43534632547e-07 2:4.79000298636e-14 3:2.20677144232e-09 4:2.0981405946e-13 5:0.166465952541 6:0.00212531465425 7:1.56626139703e-05 9:12.843816
2,1 1:2.78721527629e-07 2:5.06254054133e-13 3:1.35222593908e-08 4:2.34714570023e-13 5:0.169996979092 6:0.00316711210029 7:1.43808609548e-05 9:16.036788
3,1 1:1.48057506691e-07 2:-1.17962233403e-13 3:-5.44647960748e-09 4:9.62678558706e-14 5:0.166603854745 6:0.00227280033835 7:7.14283525261e-06 9:18.761408
4,1 1:3.73715946867e-07 2:1.89786314498e-13 3:1.16310476776e-08 4:-6.47569019568e-13 5:0.173252049711 6:0.00429020187172 7:8.72437372647e-06 9:17.461668
5,1 1:9.04815606041e-07 2:1.49047970609e-12 3:1.38822202057e-08 4:-4.82709229894e-12 5:0.169338097237 6:0.00305338632035 7:3.4454060277e-05 9:14.865092
6,1 1:2.20395746802e-07 2:2.25101050415e-13 3:8.91286328086e-09 4:-2.53511940516e-13 5:0.168131436518 6:0.0027162996366 7:1.07363579229e-05 9:13.079792
7,1 1:6.42021827035e-07 2:3.86688406992e-12 3:2.79783604393e-08 4:1.53774475094e-12 5:0.167020985021 6:0.00213091400376 7:6.54386899201e-05 9:14.401644
8,1 1:1.22792941861e-06 2:3.6783495433e-12 3:3.15341548564e-08 4:-7.72207502114e-12 5:0.172874159426 6:0.00415778100114 7:3.95146034047e-05 9:18.085012
9,1 1:5.01733158075e-07 2:-1.39259042467e-12 3:-1.29665493397e-08 4:1.56691301769e-12 5:0.166626110847 6:0.00216676325051 7:3.47931284148e-05 9:18.099084
10,1 1:6.16741187457e-07 2:-7.35580077734e-15 3:-1.34938078283e-08 4:2.64237059989e-12 5:0.169820120917 6:0.00313013982405 7:2.97633605113e-05 9:18.36262
11,1 1:2.02934738731e-07 2:-9.94714935118e-14 3:-4.2942035228e-09 4:-2.65916242315e-13 5:0.170184562349 6:0.00346336101051 7:9.64491311951e-06 9:14.941716
12,1 1:1.60986783462e-06 2:1.1882171676e-11 3:9.417051161e-08 4:4.64352455522e-12 5:0.172170925911 6:0.00392759259514 7:3.90072968456e-05 9:18.089692
13,1 1:6.16819769327e-07 2:-9.04207464712e-13 3:-1.1937603532e-08 4:2.32480077099e-12 5:0.169127526864 6:0.0030618296861 7:2.65140076977e-05 9:14.747392
