1 3:0.962187072746 4:0.882451677333 5:0.871514895637
1 3:0.963520687642 4:0.865621479579 5:0.878881362911
1 3:0.963507142335 4:0.864398359469 5:0.878878540028
1 3:0.963670658007 4:0.87004548233 5:0.878814711098
1 3:0.968664745599 4:0.912187249555 5:0.893564121741
1 3:0.963536382832 4:0.866153004764 5:0.878913953872
1 3:0.963457463834 4:0.862769891591 5:0.879143868427
1 3:0.963510753081 4:0.865227309528 5:0.878879839506
1 3:0.971604736865 4:0.90467481725 5:0.905027773446
1 3:0.963502031922 4:0.864245645827 5:0.878900629374
1 3:0.96480577536 4:0.885524997015 5:0.882664943205
1 3:0.923226718585 4:0.894825296927 5:1.0
1 3:0.963688427336 4:0.862453947269 5:0.90792731134
1 3:0.966189586032 4:0.891266315972 5:0.895411920112
1 3:0.96351152126 4:0.865196113115 5:0.878875069944
1 3:0.981074698731 4:0.915997143615 5:0.84534513537
1 3:0.963508316453 4:0.864832455213 5:0.878877903633
1 3:0.963724936275 4:0.880710002658 5:0.891381775879
1 3:0.963499226627 4:0.865044614324 5:0.878040814628
1 3:1.0 4:1.0 5:0.998056937491
1 3:0.963510344959 4:0.865153174951 5:0.878871387473
1 3:0.964328304354 4:0.88601772718 5:0.881437197992
1 3:0.964080701061 4:0.862281184898 5:0.878269686547
1 3:0.963452831637 4:0.862116368417 5:0.878953681815
1 3:0.963953918821 4:0.874424675943 5:0.878756330504
1 3:0.963519504708 4:0.865738475611 5:0.878893274657
1 3:0.963160419593 4:0.887581183907 5:0.87889455357
1 3:0.0 4:0.0 5:0.0
1 3:0.963491008795 4:0.863662884718 5:0.878872239373
1 3:0.963601016503 4:0.865376594955 5:0.880301110928
2 3:0.311154463103 4:0.255596840115 5:0.241956737477
2 3:0.291558554377 4:0.259824972905 5:0.381787936035
2 3:0.454942444957 4:0.497984667817 5:0.0276645382135
2 3:0.326184075102 4:0.309005551957 5:0.263483225417
2 3:0.327203754679 4:0.319269580956 5:0.262244503158
2 3:0.367542582564 4:0.429777011827 5:0.359988229843
2 3:0.317238981679 4:0.261592223267 5:0.259877371346
2 3:0.326258040073 4:0.304757050468 5:0.264371928176
2 3:0.324695377332 4:0.290832999195 5:0.265192006645
2 3:0.422005984288 4:0.440983655322 5:0.0674004848392
2 3:0.49923568698 4:0.619944666321 5:0.303579647045
2 3:0.0 4:0.0 5:1.0
2 3:0.323796635476 4:0.29362256475 5:0.265378477397
2 3:0.322103375078 4:0.282978845442 5:0.270854388176
2 3:0.317393693271 4:0.258347132041 5:0.270243545064
2 3:0.33885488672 4:0.36920401437 5:0.23941636247
2 3:0.334040468599 4:0.347435533815 5:0.275954682786
2 3:0.326821535324 4:0.31349427965 5:0.264011589848
2 3:1.0 4:1.0 5:0.273650854559
2 3:0.383637396053 4:0.40426885503 5:0.10290899201
2 3:0.259214355316 4:0.175387373264 5:0.510740997146
2 3:0.385403816673 4:0.396199023405 5:0.318003792781
2 3:0.730656032238 4:0.781535658647 5:0.0
2 3:0.29327882105 4:0.246202495508 5:0.333782470346
2 3:0.227924056792 4:0.0922026118295 5:0.35243683348
2 3:0.349538579901 4:0.400059316954 5:0.257818008322
2 3:0.329624747459 4:0.330768095156 5:0.257944488175
2 3:0.336776009671 4:0.342245951707 5:0.140924383815
2 3:0.328533806211 4:0.329224471377 5:0.256369891536
2 3:0.31546679896 4:0.260687668937 5:0.256832214439
2 3:0.374362653821 4:0.410967097993 5:0.242180761954
