file_name	count	rms	stddev	var	sum	extrema	median	sum2	mean	centroid	orientation	hu
../image/10022011/kps0003.jpg	250000	116.99293418	44.8209613124	2008.91857297	27016694.0	(5, 165)	131	3421836662.0	108.066776	(251.46831463190813, 257.16294207513062)	0.283431696037	(0.001845014488845137, 4.3496241943302065e-09, 4.7112145648515522e-13, 8.5613791669846275e-12, -1.0780208166576705e-23, -3.9332909258351186e-16, 1.3395063057526866e-23)
../image/10022011/cn0026.jpg	250000	136.222879268	42.0087545277	1764.73545697	32395927.0	(30, 179)	150	4639168209.0	129.583708	(256.44669787281885, 251.00142719303446)	-0.233924454447	(0.0014717105905321158, 2.025527188355987e-09, 1.4427524234948143e-12, 3.1439391746640455e-12, 6.0709950654868871e-24, 1.1334569365759645e-16, -2.8244846882723344e-24)
../image/10022011/cn0003.jpg	250000	138.021445826	44.7902075344	2006.16269097	32637935.0	(26, 186)	153	4762479877.0	130.55174	(251.72401542981308, 245.26562084043496)	-0.0285031481896	(0.0014791498573086632, 3.4636561585166458e-09, 4.5869292376519212e-13, 1.3147462577685163e-12, -9.1040834143567846e-25, -4.6233648981760104e-18, -4.6215687548565601e-25)
../image/10022011/kps0014.jpg	250000	129.201278693	44.0687604457	1942.05564722	30363336.0	(20, 188)	142	4173242604.0	121.453344	(247.95182006678897, 243.66274617368325)	0.0612676787907	(0.0015980457696484467, 2.4629414232651564e-09, 6.3820854282042553e-13, 2.326655796093613e-12, 9.4037059984458167e-25, -8.4509961140616718e-17, 2.6746789043075452e-24)
../image/10022011/kps0028.jpg	250000	134.982113585	42.1381828497	1775.62645387	32059071.0	(20, 177)	149	4555042747.0	128.236284	(249.22506672403497, 242.50111068840266)	-0.102456357684	(0.0014886128082537316, 3.4125760979517989e-09, 1.9356378084090289e-13, 2.7490035606725292e-12, 1.9861306059533891e-24, -1.5699524278336249e-16, -2.764646712818203e-25)
../image/10022011/cn0008.jpg	250000	136.719117961	47.7460662801	2279.68684522	32027752.0	(18, 184)	152	4673029304.0	128.111008	(256.12903238237965, 260.50491897839697)	-0.711340827781	(0.0015188696817431688, 4.4463402987370853e-09, 3.8792095933593001e-12, 1.0703544416207938e-11, -6.0572547126116454e-23, -6.706327998229735e-16, 3.2983165543810766e-23)
../image/10022011/kps0006.jpg	250000	110.512790156	45.4142825763	2062.45706192	25187571.0	(1, 161)	124	3053269197.0	100.750284	(254.6998798279545, 248.64498158543265)	0.272477634201	(0.0020190479534174213, 4.726312681951446e-09, 2.6059829433296788e-12, 4.3195056587863512e-12, 3.628925508189259e-24, 1.3727211156252423e-16, 1.403058137654677e-23)
../image/10022011/cn0023.jpg	250000	122.694254878	43.6687950683	1906.96366272	28665001.0	(3, 170)	137	3763470045.0	114.660004	(259.10127081246793, 248.83078002614218)	-0.47669934115	(0.0017093014623292592, 3.9292213450510307e-09, 3.5827049370287879e-12, 9.5846884873040389e-12, 5.4581917708972696e-23, 5.0351133238863851e-16, 1.3244610605117394e-23)
../image/10022011/cn0025.jpg	250000	122.302347255	46.36038535	2149.2853298	28293748.0	(2, 174)	137	3739466036.0	113.174992	(256.97004001389718, 246.44787233735732)	-0.0283354031425	(0.0017582438257863283, 4.7431796177318415e-09, 2.3237695851896168e-12, 8.6758980583640011e-12, -9.6160472453307475e-24, 1.8760212034818515e-16, 3.7749946848101085e-23)
../image/10022011/kps0013.jpg	250000	131.628351703	38.9169731481	1514.53079901	31435939.0	(16, 172)	143	4331505743.0	125.743756	(249.20247696396035, 243.58577722990523)	-0.0146672903178	(0.001509358819073558, 2.164924353555136e-09, 4.8724455325730816e-13, 1.8278266742520898e-12, 1.6619128115719412e-24, -8.4418441762470245e-17, 4.6205138580605901e-25)
